Request Rate (RPS),Avg Latency (ms),Avg Throughput (req/s)
10,1.2444892,10.199262936833042
20,1.076584,20.196582413012152
30,0.919456,30.195889130530027
40,0.8858498,40.18902097017116
50,0.8434266,50.19066767814861
60,0.7907922,60.194998750030585
70,0.7332962,70.19503031476415
80,0.7332955999999999,80.18767797669567
90,0.7721078,90.17787185606036
500,0.5891134,500.1363674401321
600,0.5697821999999999,600.1361503857336
700,0.5366754,700.1505160633692
800,0.5160882,800.1348656653179
900,0.5228668,900.0733829114779
500,0.5087244000000001,500.13957090091424
600,0.4774764,600.1936568147091
700,0.5065586,700.2136141121757
800,0.4700294,800.1147082675536
900,0.4479244,900.1178014013647
500,0.5333222,500.143611294533
600,0.539377,600.1454410374488
700,0.4945386,700.1693341085688
800,0.535099,800.162566295631
900,0.5729766,900.0523924850652
