Request Rate (RPS),Avg Latency (ms),Avg Throughput (req/s)
10,1.124468,10.203049457808689
20,1.0260264,20.19777750987168
30,0.9943188,30.19956436238084
40,0.9483234,40.1875280494107
50,0.833616,50.19428300453198
60,0.7632966,60.18911780336708
70,0.7206426,70.19843618674648
80,0.7322244,80.19122189921475
90,0.7142366,90.1813956424084
500,0.5783928,500.14825938494033
600,0.568406,600.169350822549
700,0.5190372,700.1926627226719
800,0.524016,800.2205621204415
900,0.5290804,900.0879731430532
500,0.4999374,500.123959729122
600,0.4794482,600.1659295952807
700,0.5112992000000001,699.6974562016516
800,0.4695696,800.1927376109838
900,0.4544462,900.1182314612777
500,0.5719282,500.1556674532343
600,0.5038724,600.1763829562432
700,0.5101322,700.1832548970848
800,0.5167142,800.0813539717982
900,0.576467,899.9865412837328
