Request Rate (RPS),Avg Latency (ms),Avg Throughput (req/s)
10,1.1787084,10.201685495279268
20,1.0428566,20.19852025748772
30,0.987766,30.19445698616422
40,0.879035,40.1909098499782
50,0.8296594,50.18963145292347
60,0.8095856,60.188095156219376
70,0.751765,70.19138989260145
80,0.7448174000000001,80.19120138715135
90,0.7167014,90.17755378061916
500,0.5787412,500.13795116359887
600,0.5718686,600.160042473316
700,0.5291654,700.2165103942036
800,0.5180056,800.2229663357087
900,0.5263724000000001,900.0037580743789
500,0.5000028,500.1355628291428
600,0.4796214,600.136631173085
700,0.5237776,700.1633397043292
800,0.4666532,800.1701764196134
900,0.4669234,900.0798530493954
500,0.5378345999999999,500.1820880468107
600,0.5127162000000001,600.1732576328454
700,0.4899355999999999,700.2116050856357
800,0.533378,800.0218613542518
900,0.585412,900.0805851998861
